"Theta [deg]","dB(RealizedGainTotal) [] - Freq='0.5GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.6GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.7GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.8GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.9GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.1GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.2GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.3GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.5GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.6GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.7GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.8GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.9GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='2GHz' Phi='0deg'"
-180,-16.2588282362419,-22.8498841904901,-24.8617820343552,-23.2872067851834,-25.7804209050942,-24.1011425774388,-22.0582206300685,-21.2227794000903,-23.1397268876755,-31.3214294997495,-30.1668643929948,-25.2422563054477,-29.7269570021864,-24.4921125231809,-33.6046989568275,-30.1259508873325
-178,-16.3705153650692,-22.9031534244816,-24.8835428046679,-23.1240240852587,-25.7876656315282,-24.0512288313696,-22.0719558365245,-21.2501305253243,-23.1461900615504,-31.3496047563781,-30.1299655202872,-25.1060954443091,-29.5410611371134,-24.3724579509564,-33.737291716198,-30.1890651345973
-176,-16.4964934078491,-22.9622166205036,-24.9275380014917,-22.9878568686944,-25.7911848103395,-23.9956037268616,-22.0984867276258,-21.2951685184073,-23.1348285548235,-31.1432496403234,-30.2120298761377,-24.8451960521033,-29.1779360164091,-24.0953674466002,-33.2232881595354,-29.8070685969548
-174,-16.6365966779061,-23.0269370384571,-24.9910048195774,-22.8785078568416,-25.7869366560418,-23.935461877405,-22.1420748347746,-21.3622742211985,-23.1115079789988,-30.7261632277175,-30.414603292001,-24.4928508437543,-28.577746133672,-23.6950795853677,-31.9785711196892,-28.7979259896329
-172,-16.7906924289267,-23.0970606319357,-25.0699986011049,-22.7961515517576,-25.7690109998165,-23.8729733626069,-22.2090775318375,-21.4579699867676,-23.0851092097266,-30.1405142408594,-30.7361478893729,-24.0912796947031,-27.7098157945954,-23.2179438876733,-30.2171107795207,-27.2634833094564
-170,-16.9586869575501,-23.1722218052737,-25.1592330412479,-22.7412780540699,-25.7298960732137,-23.8109753573333,-22.3074944177656,-21.5901409113409,-23.0664524886425,-29.4377686818841,-31.165162626756,-23.687836904431,-26.6271717926244,-22.7168300395539,-28.3034842177131,-25.5251915910971
-168,-17.140529581153,-23.2519655957037,-25.252009246855,-22.7145923232402,-25.6610748475921,-23.7525788005966,-22.4463015610271,-21.7668599458915,-23.0668494575814,-28.6685010226894,-31.6588118690574,-23.3306889784623,-25.441859372072,-22.2442939345595,-26.4938831164822,-23.8601578190339
-166,-17.3362137805217,-23.3357862008442,-25.3403273596015,-22.7168773537738,-25.5540535292862,-23.7007461604944,-22.6345144370864,-21.9946767271157,-23.0963090346279,-27.8747040354833,-32.0953507703507,-23.0645276945075,-24.2648710434989,-21.846320376395,-24.8999481511766,-22.4169718112118
-164,-17.545774418817,-23.4231792219385,-25.4152873160695,-22.7488290301629,-25.4018177964991,-23.6579086397005,-22.8798519113168,-22.2761281697749,-23.1613947997486,-27.0863453281589,-32.2152818864403,-22.9266035904286,-23.1721473476381,-21.5577837659141,-23.5495140914773,-21.259091703433
-162,-17.7692795927613,-23.5137015903726,-25.4678599637021,-22.810870487075,-25.2005217534808,-23.6257026895515,-23.1867781946018,-22.6061742623866,-23.2627490154075,-26.3217675944733,-31.6814064074638,-22.9421335161747,-22.2030970209699,-21.3992224715918,-22.4334881495978,-20.4121346425557
